appid,category
10,Multi-player
10,Online Multi-Player
10,Local Multi-Player
10,Valve Anti-Cheat enabled
20,Multi-player
20,Online Multi-Player
20,Local Multi-Player
20,Valve Anti-Cheat enabled
30,Multi-player
30,Valve Anti-Cheat enabled
40,Multi-player
40,Online Multi-Player
40,Local Multi-Player
40,Valve Anti-Cheat enabled
50,Single-player
50,Multi-player
50,Valve Anti-Cheat enabled
60,Multi-player
60,Online Multi-Player
60,Valve Anti-Cheat enabled
70,Single-player
70,Multi-player
70,Online Multi-Player
70,Steam Cloud
70,Valve Anti-Cheat enabled
80,Single-player
80,Multi-player
80,Valve Anti-Cheat enabled
130,Single-player
220,Single-player
220,Steam Achievements
220,Steam Trading Cards
220,Captions available
220,Partial Controller Support
220,Steam Cloud
220,Includes Source SDK
240,Multi-player
240,Cross-Platform Multiplayer
240,Steam Achievements
240,Steam Cloud
240,Valve Anti-Cheat enabled
240,Stats
240,Includes Source SDK
280,Single-player
300,Multi-player
300,Cross-Platform Multiplayer
300,Steam Achievements
300,Steam Trading Cards
300,Valve Anti-Cheat enabled
300,Stats
300,Includes Source SDK
320,Multi-player
320,Valve Anti-Cheat enabled
320,Includes Source SDK
340,Single-player
340,Commentary available
360,Multi-player
360,Valve Anti-Cheat enabled
380,Single-player
380,Steam Achievements
380,Captions available
380,Partial Controller Support
380,Steam Cloud
380,Stats
380,Includes Source SDK
380,Commentary available
400,Single-player
400,Steam Achievements
400,Captions available
400,Partial Controller Support
400,Includes level editor
400,Includes Source SDK
400,Commentary available
420,Single-player
420,Steam Achievements
420,Captions available
420,Partial Controller Support
420,Steam Cloud
420,Stats
420,Includes Source SDK
420,Commentary available
440,Multi-player
440,Cross-Platform Multiplayer
440,Steam Achievements
440,Steam Trading Cards
440,Captions available
440,Steam Workshop
440,In-App Purchases
440,Partial Controller Support
440,Valve Anti-Cheat enabled
440,Stats
440,Includes level editor
440,Commentary available
500,Single-player
500,Multi-player
500,Co-op
500,Steam Achievements
500,Full controller support
500,Captions available
500,Steam Cloud
500,Valve Anti-Cheat enabled
500,Stats
500,Steam Leaderboards
500,Includes Source SDK
500,Commentary available
550,Single-player
550,Multi-player
550,Co-op
550,Steam Achievements
550,Full controller support
550,Steam Trading Cards
550,Captions available
550,Steam Workshop
550,Steam Cloud
550,Valve Anti-Cheat enabled
550,Stats
550,Includes Source SDK
550,Commentary available
570,Multi-player
570,Co-op
570,Steam Trading Cards
570,Steam Workshop
570,SteamVR Collectibles
570,In-App Purchases
570,Valve Anti-Cheat enabled
620,Single-player
620,Co-op
620,Steam Achievements
620,Full controller support
620,Steam Trading Cards
620,Captions available
620,Steam Workshop
620,Steam Cloud
620,Stats
620,Includes level editor
620,Commentary available
630,Single-player
630,Multi-player
630,Co-op
630,Steam Achievements
630,Captions available
630,Steam Cloud
630,Stats
630,Includes level editor
730,Multi-player
730,Steam Achievements
730,Full controller support
730,Steam Trading Cards
730,Steam Workshop
730,In-App Purchases
730,Valve Anti-Cheat enabled
730,Stats
1002,Single-player
1002,Multi-player
1200,Multi-player
1200,Steam Achievements
1200,Valve Anti-Cheat enabled
1250,Single-player
1250,Multi-player
1250,Co-op
1250,Cross-Platform Multiplayer
1250,Steam Achievements
1250,Steam Trading Cards
1250,Steam Workshop
1250,Valve Anti-Cheat enabled
1250,Stats
1250,Includes level editor
1300,Single-player
1300,Stats
1500,Single-player
1510,Single-player
1520,Single-player
1520,Multi-player
1530,Single-player
1530,Multi-player
1530,Steam Achievements
1600,Single-player
1600,Multi-player
1610,Single-player
1610,Multi-player
1630,Single-player
1630,Multi-player
1630,Co-op
1640,Single-player
1640,Multi-player
1640,Co-op
1670,Single-player
1670,Multi-player
1690,Single-player
1690,Multi-player
1700,Single-player
1840,Steam Workshop
1900,Single-player
1900,Multi-player
1900,Co-op
1900,Cross-Platform Multiplayer
1900,Steam Trading Cards
1930,Single-player
1930,Multi-player
1930,Online Multi-Player
1930,Online Co-op
1930,Cross-Platform Multiplayer
1930,Steam Trading Cards
1930,Partial Controller Support
2100,Single-player
2100,Multi-player
2100,Valve Anti-Cheat enabled
2200,Single-player
2200,Multi-player
2200,Steam Cloud
2210,Single-player
2210,Multi-player
2210,Steam Cloud
2270,Single-player
2270,Steam Cloud
2280,Single-player
2280,Steam Cloud
2290,Single-player
2290,Steam Cloud
2300,Single-player
2300,Multi-player
2300,Steam Cloud
2310,Single-player
2310,Multi-player
2310,Co-op
2310,Steam Cloud
2320,Single-player
2320,Multi-player
2320,Co-op
2320,Steam Cloud
2330,Single-player
2330,Multi-player
2330,Steam Cloud
2340,Single-player
2340,Multi-player
2340,Steam Cloud
2350,Single-player
2350,Multi-player
2350,Steam Cloud
2360,Single-player
2360,Steam Cloud
2370,Single-player
2370,Steam Cloud
2390,Single-player
2390,Multi-player
2390,Steam Cloud
2400,Single-player
2400,Multi-player
2400,Steam Trading Cards
2400,Valve Anti-Cheat enabled
2450,Single-player
2450,Multi-player
2450,Steam Achievements
2500,Single-player
2500,Shared/Split Screen
2500,Steam Trading Cards
2520,Single-player
2590,Single-player
2600,Single-player
2610,Single-player
2620,Single-player
2620,Multi-player
2630,Single-player
2630,Multi-player
2640,Single-player
2640,Multi-player
2710,Single-player
2710,Multi-player
2720,Single-player
2720,Multi-player
2720,Includes level editor
2780,Single-player
2780,Multi-player
2780,Includes level editor
2800,Single-player
2800,Captions available
2800,Steam Cloud
2810,Single-player
2810,Captions available
2810,Steam Cloud
2820,Single-player
2820,Steam Achievements
2820,Full controller support
2820,Captions available
2820,Steam Cloud
2840,Single-player
2840,Steam Cloud
2850,Single-player
2850,Steam Cloud
2870,Single-player
2870,Steam Achievements
2870,Full controller support
2870,Steam Trading Cards
2870,Captions available
2870,Steam Workshop
2870,Steam Cloud
2900,Single-player
2900,Multi-player
2910,Single-player
2920,Single-player
2920,Multi-player
2920,Co-op
2920,Includes level editor
2990,Single-player
3010,Single-player
3010,Multi-player
3020,Single-player
3020,Multi-player
3020,Steam Trading Cards
3050,Single-player
3050,Multi-player
3130,Single-player
3130,Steam Cloud
3170,Single-player
3170,Steam Cloud
3230,Single-player
3230,Multi-player
3260,Single-player
3270,Single-player
3270,Multi-player
3330,Single-player
3410,Single-player
3480,Single-player
3483,Single-player
3490,Single-player
3500,Single-player
3510,Single-player
3520,Single-player
3530,Single-player
3540,Single-player
3560,Single-player
3570,Single-player
3580,Single-player
3590,Single-player
3590,Steam Achievements
3600,Single-player
3610,Single-player
3620,Single-player
3620,Steam Achievements
3620,Stats
3700,Single-player
3700,Steam Trading Cards
3710,Single-player
3710,Multi-player
3710,Co-op
3720,Single-player
3730,Single-player
3730,Multi-player
3800,Single-player
3800,Steam Trading Cards
3810,Single-player
3810,Steam Trading Cards
3820,Single-player
3820,Steam Trading Cards
3830,Single-player
3830,Steam Achievements
3830,Steam Trading Cards
3830,Partial Controller Support
3830,Steam Cloud
3900,Single-player
3900,Multi-player
3900,Includes level editor
3910,Single-player
3910,Multi-player
3910,Includes level editor
3920,Single-player
3960,Single-player
3960,Multi-player
3980,Single-player
3990,Single-player
4000,Single-player
4000,Multi-player
4000,Co-op
4000,Cross-Platform Multiplayer
4000,Steam Achievements
4000,Steam Trading Cards
4000,Captions available
4000,Steam Workshop
4000,Steam Cloud
4000,Valve Anti-Cheat enabled
4000,Includes level editor
4100,Single-player
4230,Single-player
4230,Multi-player
4290,Single-player
4290,Multi-player
4300,Single-player
4300,Partial Controller Support
4300,Includes level editor
4420,Single-player
4460,Single-player
4470,Single-player
4470,Multi-player
4500,Single-player
4500,Multi-player
4520,Single-player
4520,Multi-player
4520,Co-op
4530,Single-player
4530,Multi-player
4530,Co-op
4560,Single-player
4560,Multi-player
4560,Steam Trading Cards
4560,Steam Workshop
4560,Steam Cloud
4570,Single-player
4570,Multi-player
4570,Steam Trading Cards
4570,Steam Cloud
4580,Single-player
4580,Multi-player
4580,Steam Cloud
4700,Single-player
4700,Multi-player
4700,Steam Trading Cards
4720,Single-player
