,appid,steamspy_tags
0,10,Action
1,10,FPS
2,10,Multiplayer
3,20,Action
4,20,FPS
5,20,Multiplayer
6,30,FPS
7,30,World War II
8,30,Multiplayer
9,40,Action
10,40,FPS
11,40,Multiplayer
12,50,FPS
13,50,Action
14,50,Sci-fi
15,60,Action
16,60,FPS
17,60,Multiplayer
18,70,FPS
19,70,Classic
20,70,Action
21,80,Action
22,80,FPS
23,80,Multiplayer
24,130,FPS
25,130,Action
26,130,Sci-fi
27,220,FPS
28,220,Action
29,220,Sci-fi
30,240,Action
31,240,FPS
32,240,Multiplayer
33,280,FPS
34,280,Action
35,280,Sci-fi
36,300,FPS
37,300,World War II
38,300,Multiplayer
39,320,Action
40,320,FPS
41,320,Multiplayer
42,340,FPS
43,340,Action
44,340,Singleplayer
45,360,Action
46,360,FPS
47,360,Multiplayer
48,380,FPS
49,380,Action
50,380,Sci-fi
51,400,Puzzle
52,400,First-Person
53,400,Singleplayer
54,420,FPS
55,420,Action
56,420,Sci-fi
57,440,Free to Play
58,440,Multiplayer
59,440,FPS
60,500,Zombies
61,500,Co-op
62,500,FPS
63,550,Zombies
64,550,Co-op
65,550,FPS
66,570,Free to Play
67,570,MOBA
68,570,Strategy
69,620,Puzzle
70,620,Co-op
71,620,First-Person
72,630,Free to Play
73,630,Co-op
74,630,Action
75,730,FPS
76,730,Multiplayer
77,730,Shooter
78,1002,Indie
79,1002,Fighting
80,1002,Multiplayer
81,1200,World War II
82,1200,Action
83,1200,FPS
84,1250,FPS
85,1250,Zombies
86,1250,Co-op
87,1300,Action
88,1300,FPS
89,1300,Cyberpunk
90,1500,Strategy
91,1500,Indie
92,1500,RTS
93,1510,Hacking
94,1510,Indie
95,1510,Strategy
96,1520,Strategy
97,1520,Indie
98,1520,Multiplayer
99,1530,Indie
100,1530,RTS
101,1530,Strategy
102,1600,Strategy
103,1600,Simulation
104,1600,Naval
105,1610,Strategy
106,1610,4X
107,1610,Sci-fi
108,1630,Strategy
109,1630,Turn-Based Strategy
110,1630,Fantasy
111,1640,Turn-Based Strategy
112,1640,Strategy
113,1640,Classic
114,1670,Simulation
115,1670,Strategy
116,1670,Tanks
117,1690,Strategy
118,1690,4X
119,1690,Space
120,1700,RPG
121,1700,First-Person
122,1700,Classic
123,1840,Animation & Modeling
124,1840,Video Production
125,1840,Free to Play
126,1900,Strategy
127,1900,RTS
128,1900,Sci-fi
129,1930,RPG
130,1930,Open World
131,1930,Fantasy
132,2100,RPG
133,2100,Action
134,2100,First-Person
135,2200,FPS
136,2200,Action
137,2200,Classic
138,2210,FPS
139,2210,Action
140,2210,Shooter
141,2270,FPS
142,2270,Classic
143,2270,Action
144,2280,Classic
145,2280,FPS
146,2280,Action
147,2290,FPS
148,2290,Action
149,2290,Classic
150,2300,Classic
151,2300,FPS
152,2300,Action
153,2310,FPS
154,2310,Classic
155,2310,Action
156,2320,FPS
157,2320,Action
158,2320,Classic
159,2330,Action
160,2330,FPS
161,2330,Classic
162,2340,Action
163,2340,FPS
164,2340,Shooter
165,2350,Action
166,2350,FPS
167,2350,Competitive
168,2360,Action
169,2360,FPS
170,2360,Classic
171,2370,Action
172,2370,FPS
173,2370,Classic
174,2390,Classic
175,2390,Action
176,2390,FPS
177,2400,Multiplayer
178,2400,Indie
179,2400,Action
180,2450,Action
181,2450,Multiplayer
182,2450,FPS
183,2500,Action
184,2500,Sci-fi
185,2500,Top-Down Shooter
186,2520,Casual
187,2520,Indie
188,2520,Singleplayer
189,2590,Action
190,2590,FPS
191,2590,Sci-fi
192,2600,RPG
193,2600,Vampire
194,2600,Cult Classic
195,2610,Western
196,2610,Action
197,2610,Open World
198,2620,FPS
199,2620,World War II
200,2620,Action
201,2630,Action
202,2630,World War II
203,2630,FPS
204,2640,Action
205,2640,World War II
206,2640,FPS
207,2710,Action
208,2710,Strategy
209,2710,RTS
210,2720,Strategy
211,2720,Action
