appid,developer
10,Valve
20,Valve
30,Valve
40,Valve
50,Gearbox Software
60,Valve
70,Valve
80,Valve
130,Gearbox Software
220,Valve
240,Valve
280,Valve
300,Valve
320,Valve
340,Valve
360,Valve
380,Valve
400,Valve
420,Valve
440,Valve
500,Valve
550,Valve
570,Valve
620,Valve
630,Valve
730,Valve
730,Hidden Path Entertainment
1002,Mark Healey
1200,Tripwire Interactive
1250,Tripwire Interactive
1300,Ritual Entertainment
1500,Introversion Software
1510,Introversion Software
1520,Introversion Software
1530,Introversion Software
1600,Sonalysts
1610,Malfador Machinations
1630,Strategy First
1640,Strategy First
1670,Strategy First
1690,Malfador Machinations
1700,Arkane Studios
1840,Valve
1900,Reality Pump Studios
1930,Reality Pump Studios
2100,Arkane Studios
2200,id Software
2210,RavenSoft / id Software
2270,id Software
2280,id Software
2290,id Software
2300,id Software
2310,id Software
2320,id Software
2330,Xatrix Entertainment
2340,Rogue Entertainment
2350,id Software
2360,Raven Software
2370,Raven Software
2390,Raven Software
2400,Outerlight Ltd.
2450,Outerlight Ltd.
2500,Frozenbyte
2520,"CINEMAX, s.r.o."
2590,Black Element
2600,Troika Games
2610,Neversoft
2620,Infinity Ward
2630,Infinity Ward
2630,Aspyr (Mac)
2640,Gray Matter Studios
2710,Eugen Systems
2720,Iocaine Studios
2780,Bohemia Interactive
2800,Egosoft
2810,Egosoft
2820,Egosoft
2840,Egosoft
2850,Egosoft
2870,Egosoft
2900,Sonalysts
2910,Sonalysts
2920,Sonalysts
2990,Bugbear Entertainment
3010,Techland
3020,Techland
3050,Techland
3130,1C Entertainment
3170,Katauri Interactive
3230,Metamorf
3260,Kheops Studio
3270,Mindware Studios
3330,"PopCap Games, Inc."
3410,"PopCap Games, Inc."
3480,"PopCap Games, Inc."
3483,"PopCap Games, Inc."
3490,"Retro64, Inc."
3500,SpinTop Games
3510,SpinTop Games
3520,SpinTop Games
3530,SpinTop Games
3540,"PopCap Games, Inc."
3560,"PopCap Games, Inc."
3570,SpinTop Games
3580,"PopCap Games, Inc."
3590,"PopCap Games, Inc."
3600,SpinTop Games
3610,SpinTop Games
3620,"PopCap Games, Inc."
3700,Rebellion
3710,Rebellion
3720,Elixir Studios
3730,Rebellion
3800,GlyphX Games
3810,Terminal Reality
3820,Terminal Reality
3830,Double Fine Productions
3900,Firaxis Games
3910,Firaxis Games
3920,Firaxis Games
3960,PopTop
3980,FireFly Studios
3980,Firaxis Games
3990,Firaxis Games
4000,Facepunch Studios
4100,Funkitron
4230,SimBin
4290,SimBin
4300,Naked Sky Entertainment
4420,Monte Cristo
4460,Monte Cristo
4470,Monte Cristo
4500,GSC Game World
4520,Pandemic Studios
4530,Pandemic Studios
4560,Relic Entertainment
4570,Relic Entertainment
4580,Relic Entertainment
4700,CREATIVE ASSEMBLY
4700,Feral Interactive (Mac)
4700,Feral Interactive (Linux)
4720,Monolith
4760,CREATIVE ASSEMBLY
4770,The Creative Assembly
4780,The Creative Assembly
4780,Feral Interactive (Mac)
4780,Feral Interactive (Linux)
4800,GSC Game World
4850,GSC Game World
4870,GSC Game World
4880,GSC Game World
4890,GSC Game World
4900,Unknown Worlds Entertainment
4920,Unknown Worlds Entertainment
6000,LucasArts
6010,LucasArts
6020,Raven Software
6020,Aspyr (Mac)
6030,Raven Software
6030,Aspyr (Mac)
6040,LucasArts
6060,Pandemic Studios
6080,Frontier
6090,Planet Moon Studios
6120,Klei Entertainment
6200,Sick Puppies
6210,Deepred
6220,Bugbear Entertainment
6250,Muzzy Lane
6270,Artematica Entertainment
6300,Funcom
6310,Funcom
6370,Stunlock Studios
6400,Most Wanted Entertainment
6420,Mithis Games
6420,THQ Nordic
6510,"CAPCOM Co., Ltd."
6550,"CAPCOM Co., Ltd."
6800,Pyro Studios
6810,Pyro Studios
6830,Pyro Studios
6840,Pyro Studios
6850,Io-Interactive A/S
6860,Io-Interactive A/S
6870,Eidos Interactive
6880,Avalanche Studios
6900,IO Interactive A/S
6910,Ion Storm
6920,Ion Storm
6980,Ion Storm
7000,Crystal Dynamics
7010,Crystal Dynamics
7020,Rebellion
7110,BioWare Corporation
7200,Nadeo
7210,Pendulo Studios
7220,Pendulo Studios
7260,Cyanide Studios
7340,Big Fish Games
7510,Gaijin Entertainment
7520,Reality Pump Studios
7530,Reality Pump Studios
7600,Firaxis Games
7600,Feral Interactive (Mac)
7610,PopTop
7620,PopTop
7650,"MicroProse Software, Inc"
7660,"MicroProse Software, Inc"
7730,"MicroProse Software, Inc"
7760,"MicroProse Software, Inc"
7770,"MicroProse Software, Inc"
7830,Best Way
7840,Sky Fallen
7860,The Farm 51
7940,Infinity Ward
7940,Aspyr (Mac)
8000,Crystal Dynamics
8000,Feral Interactive (Mac)
8080,IO Interactive
8100,Pivotal Games
8140,Crystal Dynamics
8170,Eidos Studio Hungary
8190,Avalanche Studios
8310,Telltale Games
8320,Telltale Games
8330,Telltale Games
8340,Telltale Games
8400,Bizarre Creations
8500,CCP
8600,SimBin
8790,SimBin Studios AB
8800,Firaxis Games
8870,Irrational Games
8870,Aspyr (Mac)
8870,Virtual Programming (Linux)
8880,Irrational Games
8890,Irrational Games
8930,Firaxis Games
8930,Aspyr (Mac)
8930,Aspyr (Linux)
8970,Silver Wish Games
9000,id Software
9010,Gray Matter Studios
9030,Rogue Entertainment
9040,Ritual Entertainment
9050,id Software
9060,Raven Software
9160,id Software
9180,id Software
9200,id Software
9310,Relic Entertainment
9340,Relic Entertainment
9350,Gas Powered Games
9420,Gas Powered Games
9450,Relic Entertainment
9460,Kaos Studios
9480,Volition
9500,Cryptic Sea
9710,Spellbound
9760,Eugen Systems
9800,Haggard Games
9850,InnoGlow
9850,Stormregion
9850,THQ Nordic
9880,Cryptic Studios
9900,Cryptic Studios
9940,Krome Studios
9960,ImagineEngline
9970,Incinerator Studios
9980,Artech Studios
10090,Treyarch
10100,Sierra
10110,Sierra
10120,Artech Studios
10130,Saber Interactive
10140,Wanako Games
10150,Radical Entertainment
10180,Infinity Ward
10180,Aspyr (Mac)
10220,Trashmasters
10230,Electronic Paradise
10240,SPLine
10250,Studio4
10260,studio4
10270,Akella
10460,Bizarre Creations
10500,CREATIVE ASSEMBLY
10500,Feral Interactive (Mac)
10500,Feral Interactive (Linux)
10680,Rebellion
11020,Nadeo
11040,Frogwares
11050,Frogwares
11130,Frogwares
11140,Frogwares
11150,Frogwares
11190,Frogwares
11200,Frozenbyte
11230,"CINEMAX, s.r.o."
11240,Meridian4
11250,Buka Entertainment
11250,Lesta Studio
11260,Lesta Studio
11280,Frogames
11330,IonFX
11340,Meridian4
11360,2DEngine.com
11450,Triumph Studios
11450,Virtual Programming
11480,Best Way
11560,KDV Games
11590,Deep Red Limited
12100,Rockstar Games
12110,Rockstar Games
12120,Rockstar Games
12130,Rockstar North
12140,Remedy Entertainment
12150,Remedy Entertainment
12170,Rockstar North
12180,Rockstar North
12200,Rockstar New England
12210,Rockstar North
12210,Rockstar Toronto
12220,Rockstar North / Toronto
12310,Momentum Digital Media Technologies
12320,Ascaron Entertainment ltd.
12330,Ascaron Entertainment ltd.
12340,Deck13
12360,Bugbear Entertainment
12390,Parallax Arts Studio
12420,KDV Games
12430,Technetium Games
12440,Deck 13
12450,Deck 13
12460,Mascot Entertainment
12470,Ascaron Entertainment ltd.
12480,Noviy Disk
12480,Lesta Studios Inc
12500,Infinite Interactive
12510,Gamebryo
12510,Virtual Playground
12520,SCS Software
12530,SCS Software
12540,Zemnott
12560,Gabriel Entertainment
12590,BigAnt Studios
12600,Merscom
12600,Babylon
12640,Radon Labs
12670,Virtual Playground
12710,Triumph Studios
12710,Virtual Programming
12770,Liquid Entertainment
12790,Blue Omega Entertainment
12810,Triumph Studios
12810,Virtual Programming
12830,Codemasters Studios
13000,Sanzaru Games
13140,U.S. Army
13200,"Epic Games, Inc."
13210,"Epic Games, Inc."
13230,"Epic Games, Inc."
13240,"Epic Games, Inc."
13250,"Epic Games, Inc."
13500,Ubisoft
13520,Crytek Studios
13530,Ubisoft Montreal
13540,Ubisoft Montreal
13560,Ubisoft
13570,Ubisoft Montreal
13580,Ubisoft Montreal
13600,Kudosoft
13620,Red Storm Entertainment
15000,Red Storm Entertainment
15080,Ubisoft Bulgaria
15080,Ubisoft Montpellier
15100,Ubisoft Montreal
15120,Ubisoft Montreal
15130,Ubisoft
15160,Ubisoft
15170,Nival
15190,Gearbox Software
15200,Ubisoft Romania
15210,Ubisoft
15240,Ubisoft Romania
15270,Darkworks
15300,Red Storm Entertainment
15320,1C: Maddox Games
15370,Nival
15380,Nival
15390,Gearbox Software
15400,Oxeye Game Studio
15500,"Dejobaan Games, LLC"
15520,"Dejobaan Games, LLC"
15560,"Dejobaan Games, LLC"
15560,Owlchemy Labs
15620,Relic Entertainment
15620,Feral Interactive (Mac/Linux)
15700,Oddworld Inhabitants
15710,Oddworld Inhabitants
15740,Oddworld Inhabitants
15750,Oddworld Inhabitants
15800,Slam
15900,MumboJumbo
15910,MumboJumbo
15920,MumboJumbo
15930,MumboJumbo
15960,MumboJumbo
15970,MumboJumbo
16000,MumboJumbo
16020,MumboJumbo
16030,MumboJumbo
16040,MumboJumbo
16060,MumboJumbo
16100,Last Day of Work
16110,Last Day of Work
16120,Last Day of Work
16130,Last Day of Work
16180,Last Day of Work
16200,Last Day of Work
16450,Monolith
16500,blurredVision
16600,Redlynx
16620,Redlynx Ltd
16710,Crackpot Entertainment
16720,Replay Studios
16730,Spark Unlimited
16810,Firaxis Games
16900,BlackFoot Studios
17080,Hi-Rez Studios
17100,"Tilted Mill Entertainment, Inc."
17120,"Tilted Mill Entertainment, Inc."
17140,"Tilted Mill Entertainment, Inc."
17180,"Tilted Mill Entertainment, Inc."
17300,Crytek
17330,Crytek
17390,Maxis™
17410,DICE
17430,EA Black Box
17440,Maxis™
17450,BioWare
17460,BioWare
17470,EA Redwood Shores
17480,EA Los Angeles
17500,Zombie Panic Team
17570,Octoshark Studios
17710,GameConnect
17710,InterWave Studios
17740,Empires
18000,Hothead Games
18020,Hothead Games
18040,Hothead Games
18050,Hothead Games
18070,Hothead Games
18120,Futuremark
18300,Shorebound Studios
18400,Fakt Software
18420,Fakt Software
18470,Spellbound
18480,4Head Studios
18500,Hidden Path Entertainment
18600,Inventive Dingo
18700,Broken Rules
18820,Brian Cronin
19000,Double Helix Games
19020,Infinite Interactive
19030,Climax Studios
19080,G5 Entertainment
19200,Dialogue Design
19320,Strawdog Studios Ltd
19500,Luc Bernard
19500,SilverSphereStudios
19800,Gearbox Software
19830,Red Storm Entertainment
19830,Ubisoft Montreal
19900,Ubisoft Montreal
19980,Ubisoft Montreal
20200,Perpetual FX Creative
20510,GSC Game World
20530,"Volition, Inc."
20540,Relic Entertainment
20550,"Volition, Inc."
20570,Relic Entertainment
20570,Feral Interactive (Mac/Linux)
20700,Moonpod
20710,Moonpod
20820,Sidhe
20900,CD PROJEKT RED
20920,CD PROJEKT RED
21000,Traveller's Tales
21010,Deadline Games
21030,Deadline Games  
21090,"Monolith Productions, Inc."
21090,Timegate
21100,Day 1 Studios
21130,TT Games
21300,Dark Castle Software
21400,Games Faction
21500,Eipix
21640,Proper Games
21660,Capcom
21670,Capcom
21680,Capcom
21690,Capcom
21780,Ubisoft Reflections
21800,Ubisoft  Shanghaï
21980,Techland
22000,2D BOY
22100,TaleWorlds Entertainment
22120,Frictional Games
22130,Paradox Development Studio
22180,Frictional Games
22200,ACE Team
22230,ACE Team
22300,Bethesda Game Studios
22310,Rebellion
22320,Bethesda Game Studios
22330,Bethesda Game Studios
22350,Splash Damage
22370,Bethesda Game Studios
22380,Obsidian Entertainment
22450,inXile Entertainment
22500,Apus Software
22500,Three Donkeys LLC
22600,Team17 Digital Ltd
22610,Team17 Software Ltd. 
22650,Team17 Digital Ltd
22670,Team17 Digital Ltd
23150,Red Chain Games Ltd.
23300,Square Enix
23380,Square Enix
23380,"PopCap Games, Inc."
23400,Haemimont Games
23420,Paradox Development Studio
23450,Haemimont Games
23460,Realmforge Studios
23490,Haemimont Games
23500,Infinite Interactive
23530,"Vicious Cycle Software, Inc."
23600,Soldak Entertainment
23700,Infinite Interactive
24010,Dovetail Games
24200,Daybreak Game Company
24240,OVERKILL Software
24400,NeocoreGames
24410,NeocoreGames
24420,"Bit Blot, LLC"
24460,NeocoreGames
24480,NeocoreGames
24640,N3V Games
24650,N3V Games
24670,N3V Games
24720,EA - Maxis
24740,Criterion Games
24780,EA - Maxis
24780,Aspyr (Mac)
