appid,name,release_date,price
10,Counter-Strike,2000-11-01,7.19
20,Team Fortress Classic,1999-04-01,3.99
30,Day of Defeat,2003-05-01,3.99
40,Deathmatch Classic,2001-06-01,3.99
50,Half-Life: Opposing Force,1999-11-01,3.99
60,Ricochet,2000-11-01,3.99
70,Half-Life,1998-11-08,7.19
80,Counter-Strike: Condition Zero,2004-03-01,7.19
130,Half-Life: Blue Shift,2001-06-01,3.99
220,Half-Life 2,2004-11-16,7.19
240,Counter-Strike: Source,2004-11-01,7.19
280,Half-Life: Source,2004-06-01,0.0
300,Day of Defeat: Source,2010-07-12,7.19
320,Half-Life 2: Deathmatch,2004-11-01,3.99
340,Half-Life 2: Lost Coast,2005-10-27,0.0
360,Half-Life Deathmatch: Source,2006-05-01,0.0
380,Half-Life 2: Episode One,2006-06-01,5.79
400,Portal,2007-10-10,7.19
420,Half-Life 2: Episode Two,2007-10-10,5.79
440,Team Fortress 2,2007-10-10,0.0
500,Left 4 Dead,2008-11-17,7.19
550,Left 4 Dead 2,2009-11-19,7.19
570,Dota 2,2013-07-09,0.0
620,Portal 2,2011-04-18,7.19
630,Alien Swarm,2010-07-19,0.0
730,Counter-Strike: Global Offensive,2012-08-21,0.0
1002,Rag Doll Kung Fu,2005-10-12,5.99
1200,Red Orchestra: Ostfront 41-45,2006-03-14,3.99
1250,Killing Floor,2009-05-14,14.99
1300,SiN Episodes: Emergence,2006-05-10,7.19
1500,Darwinia,2005-07-14,7.19
1510,Uplink,2006-08-23,6.99
1520,DEFCON,2006-09-29,7.19
1530,Multiwinia,2008-09-19,7.19
1600,Dangerous Waters,2006-02-07,22.99
1610,Space Empires IV Deluxe,2006-02-07,6.99
1630,Disciples II: Rise of the Elves ,2006-07-06,4.99
1640,Disciples II: Gallean's Return,2006-07-06,4.99
1670,Iron Warriors: T - 72 Tank Command ,2006-07-26,3.99
1690,Space Empires V,2006-10-16,10.99
1700,Arx Fatalis,2007-04-03,2.99
1840,Source Filmmaker,2012-07-10,0.0
1900,Earth 2160,2006-04-01,3.99
1930,Two Worlds Epic Edition,2009-04-30,6.99
2100,Dark Messiah of Might & Magic,2006-10-25,4.29
2200,Quake III Arena,2007-08-03,12.99
2210,Quake IV,2011-08-04,12.99
2270,Wolfenstein 3D,2007-08-03,2.99
2280,Ultimate Doom,2007-08-03,3.99
2290,Final DOOM,2007-08-03,3.99
2300,DOOM II,2007-08-03,3.99
2310,QUAKE,2007-08-03,3.99
2320,QUAKE II,2007-08-03,3.99
2330,QUAKE II Mission Pack: The Reckoning,2007-08-03,2.49
2340,QUAKE II Mission Pack: Ground Zero,2007-08-03,2.49
2350,QUAKE III: Team Arena,2007-08-03,12.99
2360,HeXen: Beyond Heretic,2007-08-03,2.99
2370,HeXen: Deathkings of the Dark Citadel,2007-08-03,2.99
2390,Heretic: Shadow of the Serpent Riders,2007-08-03,2.99
2400,The Ship: Murder Party,2006-07-11,0.0
2450,Bloody Good Time,2010-10-29,4.29
2500,Shadowgrounds,2006-05-08,3.99
2520,Gumboy - Crazy Adventures™,2006-12-19,0.0
2590,Alpha Prime,2007-11-07,2.99
2600,Vampire: The Masquerade - Bloodlines,2007-03-22,14.99
2610,GUN™,2006-10-13,9.99
2620,Call of Duty®,2006-10-13,14.99
2630,Call of Duty® 2,2006-10-13,14.99
2640,Call of Duty: United Offensive,2006-10-13,14.99
2710,Act of War: Direct Action,2008-03-12,1.99
2720,ThreadSpace: Hyperbol,2007-07-12,3.99
2780,ARMA: Combat Operations,2008-03-12,5.99
2800,X2: The Threat,2006-07-21,4.99
2810,X3: Reunion,2006-07-21,9.99
2820,X3: Terran Conflict,2008-10-16,15.99
2840,X: Beyond the Frontier,2010-10-08,3.49
2850,X: Tension,2010-10-08,3.49
2870,X Rebirth,2013-11-15,24.99
2900,688(I) Hunter/Killer,2006-10-26,22.99
2910,Fleet Command,2006-10-26,22.99
2920,Sub Command,2006-10-26,22.99
2990,FlatOut 2™,2006-12-21,5.99
3010,Xpand Rally,2006-08-24,3.99
3020,Call of Juarez™,2007-11-08,8.59
3050,Xpand Rally Xtreme,2008-10-08,3.99
3130,Men of War: Red Tide,2009-11-01,3.99
3170,King's Bounty: Armored Princess,2009-11-19,7.99
3230,Genesis Rising,2007-08-06,4.49
3260,Safecracker: The Ultimate Puzzle Adventure,2007-08-29,4.49
3270,Painkiller Overdose,2007-10-30,4.49
3330,Zuma Deluxe,2006-08-30,4.25
3410,Heavy Weapon Deluxe,2006-08-30,4.25
3480,Peggle Deluxe,2007-03-06,4.25
3483,Peggle Extreme,2007-09-11,0.0
3490,Venice Deluxe,2007-06-25,4.25
3500,Mystery P.I.™ - The Lottery Ticket,2007-10-16,4.25
3510,Amazing Adventures The Lost Tomb™,2007-12-13,4.25
3520,Mystery P.I.™ - The Vegas Heist,2008-06-05,4.25
3530,Amazing Adventures Around the World,2009-04-15,4.25
3540,Peggle™ Nights,2008-10-15,4.25
3560,Bejeweled Twist,2008-11-18,4.25
3570,Mystery P.I.™ - The New York Fortune,2009-01-28,4.25
3580,The Wizard's Pen™,2009-02-18,4.25
3590,Plants vs. Zombies GOTY Edition,2009-05-05,4.25
3600,Escape Rosecliff Island,2009-04-15,4.25
3610,Mystery P.I. - Lost in Los Angeles,2009-07-27,4.25
3620,Zuma's Revenge!,2009-09-15,4.25
3700,Sniper Elite,2009-07-16,5.59
3710,Judge Dredd: Dredd vs. Death,2009-03-26,5.59
3720,Evil Genius,2009-06-22,6.99
3730,Aliens versus Predator Classic 2000,2010-01-15,3.99
3800,Advent Rising,2006-09-14,7.19
3810,BloodRayne,2006-09-14,6.99
3820,BloodRayne 2,2006-09-14,6.99
3830,Psychonauts,2006-10-11,6.99
3900,Sid Meier's Civilization® IV,2006-10-25,9.99
3910,Sid Meier's Civilization® III Complete,2006-10-25,2.99
3920,Sid Meier's Pirates!,2005-07-11,5.99
3960,Shattered Union,2006-10-25,2.99
3980,CivCity: Rome,2007-04-06,5.99
3990,Civilization IV®: Warlords,2007-04-06,2.99
4000,Garry's Mod,2006-11-29,6.99
4100,Poker Superstars II,2006-10-05,5.99
4230,RACE - The WTCC Game,2006-11-24,25.99
4290,RACE: Caterham Expansion,2007-06-22,3.99
4300,RoboBlitz,2006-11-07,5.99
4420,Silverfall,2007-03-20,7.99
4460,City Life 2008,2008-09-29,6.99
4470,Silverfall: Earth Awakening,2008-07-18,7.99
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-20,9.99
4520,Full Spectrum Warrior,2007-07-17,7.99
4530,Full Spectrum Warrior: Ten Hammers,2007-07-17,4.99
4560,Company of Heroes - Legacy Edition,2007-07-17,0.0
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2007-08-07,9.99
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2007-08-07,9.99
4700,Total War: MEDIEVAL II – Definitive Edition,2006-11-15,0.0
4720,Condemned: Criminal Origins,2012-10-29,9.99
4760,Rome: Total War™ - Collection,2007-08-28,8.99
4770,Rome: Total War™ - Alexander,2007-08-28,8.99
4780,Medieval II: Total War™ Kingdoms,2007-08-28,0.0
4800,Heroes of Annihilated Empires,2006-11-22,9.99
4850,Cossacks: Back to War,2010-09-02,3.99
4870,Cossacks: Art of War,2011-08-26,3.99
4880,Cossacks: European Wars,2011-08-26,3.99
4890,Cossacks II: Battle for Europe,2011-08-26,3.99
4900,Zen of Sudoku,2006-12-14,0.0
4920,Natural Selection 2,2012-10-30,6.99
6000,STAR WARS™ Republic Commando™,2009-07-08,7.19
6010,Indiana Jones® and the Fate of Atlantis™,2009-07-08,4.79
6020,STAR WARS™ Jedi Knight - Jedi Academy™,2009-09-16,7.19
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,2009-09-16,7.19
6040,The Dig®,2009-07-08,4.79
