appid,platform
10,windows
10,mac
10,linux
20,windows
20,mac
20,linux
30,windows
30,mac
30,linux
40,windows
40,mac
40,linux
50,windows
50,mac
50,linux
60,windows
60,mac
60,linux
70,windows
70,mac
70,linux
80,windows
80,mac
80,linux
130,windows
130,mac
130,linux
220,windows
220,mac
220,linux
240,windows
240,mac
240,linux
280,windows
280,mac
280,linux
300,windows
300,mac
300,linux
320,windows
320,mac
320,linux
340,windows
340,mac
340,linux
360,windows
360,mac
360,linux
380,windows
380,mac
380,linux
400,windows
400,mac
400,linux
420,windows
420,mac
420,linux
440,windows
440,mac
440,linux
500,windows
500,mac
550,windows
550,mac
550,linux
570,windows
570,mac
570,linux
620,windows
620,mac
620,linux
630,windows
730,windows
730,mac
730,linux
1002,windows
1200,windows
1200,mac
1200,linux
1250,windows
1250,mac
1250,linux
1300,windows
1500,windows
1500,mac
1500,linux
1510,windows
1510,mac
1510,linux
1520,windows
1520,mac
1520,linux
1530,windows
1530,mac
1600,windows
1610,windows
1630,windows
1640,windows
1670,windows
1690,windows
1700,windows
1840,windows
1900,windows
1900,mac
1900,linux
1930,windows
1930,mac
1930,linux
2100,windows
2200,windows
2210,windows
2270,windows
2280,windows
2290,windows
2300,windows
2310,windows
2320,windows
2330,windows
2340,windows
2350,windows
2360,windows
2370,windows
2390,windows
2400,windows
2450,windows
2500,windows
2500,mac
2520,windows
2590,windows
2600,windows
2610,windows
2620,windows
2630,windows
2630,mac
2640,windows
2710,windows
2720,windows
2780,windows
2800,windows
2810,windows
2810,mac
2810,linux
2820,windows
2820,mac
2820,linux
2840,windows
2850,windows
2870,windows
2870,mac
2870,linux
2900,windows
2910,windows
2920,windows
2990,windows
3010,windows
3020,windows
3050,windows
3130,windows
3170,windows
3170,mac
3230,windows
3260,windows
3270,windows
3330,windows
3330,mac
3410,windows
3480,windows
3480,mac
3483,windows
3490,windows
3500,windows
3510,windows
3520,windows
3530,windows
3540,windows
3540,mac
3560,windows
3570,windows
3580,windows
3590,windows
3590,mac
3600,windows
3600,mac
3610,windows
3620,windows
3700,windows
3710,windows
3720,windows
3730,windows
3800,windows
3810,windows
3820,windows
3830,windows
3830,mac
3830,linux
3900,windows
3900,mac
3910,windows
3920,windows
3960,windows
3980,windows
3990,windows
3990,mac
4000,windows
4000,mac
4000,linux
4100,windows
4230,windows
4290,windows
4300,windows
4420,windows
4460,windows
4470,windows
4500,windows
4520,windows
4530,windows
4560,windows
4570,windows
4580,windows
4700,windows
4700,mac
4700,linux
4720,windows
4760,windows
4770,windows
4780,windows
4780,mac
4780,linux
4800,windows
4850,windows
4870,windows
4880,windows
4890,windows
4900,windows
4920,windows
4920,linux
6000,windows
6010,windows
6010,mac
6020,windows
6020,mac
6030,windows
6030,mac
6040,windows
6040,mac
6060,windows
6080,windows
6090,windows
6120,windows
6120,mac
6120,linux
6200,windows
6210,windows
6220,windows
6250,windows
6270,windows
6300,windows
6310,windows
6370,windows
6400,windows
6420,windows
6510,windows
6550,windows
6800,windows
6810,windows
6830,windows
6840,windows
6850,windows
6860,windows
6870,windows
6880,windows
6900,windows
6910,windows
6920,windows
6980,windows
7000,windows
7010,windows
7020,windows
7110,windows
7200,windows
7210,windows
7220,windows
7260,windows
7340,windows
7510,windows
7510,mac
7510,linux
7520,windows
7520,mac
7530,windows
7530,mac
7600,windows
7600,mac
7610,windows
7620,windows
7650,windows
7660,windows
7730,windows
7760,windows
7770,windows
7830,windows
7840,windows
7860,windows
7940,windows
7940,mac
8000,windows
8080,windows
8100,windows
8140,windows
8170,windows
8190,windows
8310,windows
8320,windows
8330,windows
8340,windows
8340,mac
8400,windows
8500,windows
8500,mac
8600,windows
8790,windows
8800,windows
8800,mac
8870,windows
8870,mac
8870,linux
8880,windows
8890,windows
8930,windows
8930,mac
8930,linux
8970,windows
9000,windows
9010,windows
9030,windows
9040,windows
9050,windows
9060,windows
9160,windows
9180,windows
9200,windows
9310,windows
9340,windows
9350,windows
9420,windows
9450,windows
9460,windows
9480,windows
9480,linux
9500,windows
9500,mac
9710,windows
9760,windows
9800,windows
9850,windows
9880,windows
9900,windows
9940,windows
9960,windows
9970,windows
9980,windows
10090,windows
10100,windows
10110,windows
10120,windows
10130,windows
10140,windows
10150,windows
10180,windows
10180,mac
10220,windows
10230,windows
10240,windows
10250,windows
10260,windows
10270,windows
10460,windows
10500,windows
10500,mac
10500,linux
10680,windows
11020,windows
11040,windows
11050,windows
11130,windows
11140,windows
11150,windows
11190,windows
11200,windows
11200,mac
11230,windows
11240,windows
11250,windows
11260,windows
11280,windows
11280,mac
11330,windows
11340,windows
11360,windows
11360,mac
11450,windows
11450,mac
11450,linux
11480,windows
11560,windows
11590,windows
12100,windows
12110,windows
12120,windows
12130,windows
12140,windows
12150,windows
12170,windows
12180,windows
12200,windows
12210,windows
12220,windows
12310,windows
12320,windows
12330,windows
12340,windows
12360,windows
12390,windows
12420,windows
12430,windows
12440,windows
12450,windows
12460,windows
12470,windows
12480,windows
12500,windows
12510,windows
12520,windows
12530,windows
12540,windows
12560,windows
12590,windows
12600,windows
12640,windows
12670,windows
12710,windows
12710,mac
12710,linux
12770,windows
12790,windows
12810,windows
12810,mac
12810,linux
12830,windows
13000,windows
13140,windows
13200,windows
13210,windows
13230,windows
13240,windows
13250,windows
13500,windows
13520,windows
13530,windows
13540,windows
13560,windows
13570,windows
13580,windows
13600,windows
13620,windows
15000,windows
15080,windows
15100,windows
15120,windows
15130,windows
15160,windows
15170,windows
15190,windows
15200,windows
15210,windows
15240,windows
15270,windows
15300,windows
15320,windows
15370,windows
15380,windows
15390,windows
15400,windows
15400,mac
15400,linux
15500,windows
15520,windows
15560,windows
15560,mac
15560,linux
15620,windows
15620,mac
15620,linux
15700,windows
15710,windows
15740,windows
15750,windows
15800,windows
15900,windows
15910,windows
15920,windows
15930,windows
15960,windows
15970,windows
15970,mac
16000,windows
16020,windows
16030,windows
16040,windows
16060,windows
16100,windows
16110,windows
16120,windows
16130,windows
16180,windows
16200,windows
16450,windows
16500,windows
16600,windows
16620,windows
16620,mac
16710,windows
16720,windows
16720,mac
16730,windows
16810,windows
16810,mac
16900,windows
17080,windows
17100,windows
17120,windows
17140,windows
17180,windows
17300,windows
17330,windows
17390,windows
17410,windows
17430,windows
17440,windows
17450,windows
17460,windows
17470,windows
17480,windows
17500,windows
17500,linux
17570,windows
17570,mac
17570,linux
17710,windows
17710,mac
17710,linux
17740,windows
17740,linux
18000,windows
18020,windows
18040,windows
18040,mac
18050,windows
18050,mac
18070,windows
18070,mac
18120,windows
18120,mac
18300,windows
18300,mac
18300,linux
18400,windows
18420,windows
18470,windows
18480,windows
18500,windows
18600,windows
18700,windows
18700,mac
18700,linux
18820,windows
19000,windows
19020,windows
19030,windows
19080,windows
19200,windows
19320,windows
19500,windows
19800,windows
19830,windows
19900,windows
19980,windows
20200,windows
20510,windows
20530,windows
20540,windows
20550,windows
20570,windows
20570,mac
20570,linux
20700,windows
20710,windows
20820,windows
20820,mac
20820,linux
20900,windows
20900,mac
20920,windows
20920,mac
20920,linux
21000,windows
21010,windows
21030,windows
21090,windows
21100,windows
21130,windows
21300,windows
21400,windows
21500,windows
21640,windows
21660,windows
21670,windows
21680,windows
21690,windows
21780,windows
21800,windows
21980,windows
22000,windows
22000,mac
22000,linux
22100,windows
22120,windows
22120,mac
22120,linux
22130,windows
22180,windows
22180,mac
22180,linux
22200,windows
22230,windows
22300,windows
22310,windows
22320,windows
22330,windows
22350,windows
22370,windows
22380,windows
22450,windows
22500,windows
22600,windows
22600,mac
22600,linux
22610,windows
22650,windows
22670,windows
23150,windows
23300,windows
23380,windows
23400,windows
23420,windows
23450,windows
23460,windows
23490,windows
23500,windows
23530,windows
23600,windows
23600,mac
23600,linux
23700,windows
24010,windows
24200,windows
24240,windows
24400,windows
24410,windows
24420,windows
24420,linux
24460,windows
24480,windows
24640,windows
24650,windows
24670,windows
24720,windows
24740,windows
24780,windows
24780,mac
24790,windows
24800,windows
24810,windows
24840,windows
24870,windows
24960,windows
24980,windows
25000,windows
25000,mac
25000,linux
25010,windows
25010,mac
25010,linux
25500,windows
25600,windows
25600,mac
25600,linux
25620,windows
25620,mac
25620,linux
25700,windows
25700,mac
25800,windows
25800,mac
25830,windows
25850,windows
25890,windows
25890,mac
25900,windows
25900,mac
25910,windows
25930,windows
