appid,publisher
10,Valve
20,Valve
30,Valve
40,Valve
50,Valve
60,Valve
70,Valve
80,Valve
130,Valve
220,Valve
240,Valve
280,Valve
300,Valve
320,Valve
340,Valve
360,Valve
380,Valve
400,Valve
420,Valve
440,Valve
500,Valve
550,Valve
570,Valve
620,Valve
630,Valve
730,Valve
1002,Mark Healey
1200,Tripwire Interactive
1250,Tripwire Interactive
1300,Ritual Entertainment
1500,Introversion Software
1510,Introversion Software
1520,Introversion Software
1530,Introversion Software
1600,Strategy First
1610,Strategy First
1630,Strategy First
1640,Strategy First
1670,Strategy First
1690,Strategy First
1700,Arkane Studios
1840,Valve
1900,Topware Interactive
1900,ACE
1930,Topware Interactive
2100,Ubisoft
2200,id Software
2210,Bethesda Softworks
2270,Bethesda-Softworks
2280,id Software
2290,id Software
2300,id Software
2310,id Software
2320,id Software
2330,id Software
2340,id Software
2350,id Software
2360,id Software
2370,id Software
2390,id Software
2400,Blazing Griffin Ltd.
2450,Ubisoft
2500,Frozenbyte
2520,"CINEMAX, s.r.o."
2590,Bohemia Interactive
2600,Activision
2610,Activision
2620,Activision
2630,Activision
2630,Aspyr (Mac)
2640,Activision
2710,THQ Nordic
2720,Atari
2780,Bohemia Interactive
2800,Egosoft
2810,Egosoft
2820,Egosoft
2840,Egosoft
2850,Egosoft
2870,Egosoft
2900,Strategy First
2910,Strategy First
2920,Strategy First
2990,Strategy First
3010,Techland
3020,Techland Publishing
3050,Techland
3130,1C Entertainment
3130,1C-SoftClub
3170,1C Entertainment
3230,THQ Nordic
3260,HandyGames
3270,THQ Nordic
3330,"PopCap Games, Inc."
3410,"PopCap Games, Inc."
3480,"PopCap Games, Inc."
3483,"PopCap Games, Inc."
3490,"PopCap Games, Inc."
3500,"PopCap Games, Inc."
3510,"PopCap Games, Inc."
3520,"PopCap Games, Inc."
3530,"PopCap Games, Inc."
3540,"PopCap Games, Inc."
3560,"PopCap Games, Inc."
3570,"PopCap Games, Inc."
3580,"PopCap Games, Inc."
3590,"PopCap Games, Inc."
3600,"PopCap Games, Inc."
3610,"PopCap Games, Inc."
3620,"PopCap Games, Inc."
3700,Rebellion
3710,Rebellion
3720,Rebellion
3730,Rebellion
3800,Majesco Entertainment
3810,Majesco Entertainment
3820,Majesco Entertainment
3830,Double Fine Productions
3900,2K
3910,2K
3920,2K
3960,2K
3980,2K
3990,2K
4000,Valve
4100,Funkitron
4230,SimBin
4290,SimBin
4300,Naked Sky Entertainment
4420,Focus Home Interactive
4460,Focus Home Interactive
4470,Focus Home Interactive
4500,GSC Game World
4520,THQ Nordic
4530,THQ Nordic
4560,SEGA
4570,SEGA
4580,SEGA
4700,SEGA
4700,Feral Interactive (Mac)
4700,Feral Interactive (Linux)
4720,SEGA
4760,SEGA
4770,SEGA
4780,SEGA
4780,Feral Interactive (Mac)
4780,Feral Interactive (Linux)
4800,GSC Game World
4850,GSC World Publishing
4870,GSC World Publishing
4880,GSC World Publishing
4890,GSC World Publishing
4900,Unknown Worlds Entertainment
4920,Unknown Worlds Entertainment
6000,LucasArts
6000,Lucasfilm
6000,Disney Interactive
6010,LucasArts
6010,Lucasfilm
6010,Disney Interactive
6020,LucasArts
6020,Aspyr (Mac)
6020,Lucasfilm
6020,Disney Interactive
6030,LucasArts
6030,Aspyr (Mac)
6030,Lucasfilm
6030,Disney Interactive
6040,LucasArts
6060,Lucasfilm
6060,LucasArts
6060,Disney Interactive
6080,LucasArts
6090,LucasArts
6090,Lucasfilm
6090,Disney Interactive
6120,Klei Entertainment
6200,Strategy First
6210,Strategy First
6220,Strategy First
6250,Strategy First
6270,Strategy First
6300,Funcom
6310,Funcom
6370,Stunlock Studios
6400,HD Publishing
6420,HandyGames
6510,Capcom
6550,Capcom
6800,Kalypso Media Digital
6810,Kalypso Media Digital
6830,Kalypso Media Digital
6840,Kalypso Media Digital
6850,Io-Interactive A/S
6860,Io-Interactive A/S
6870,Square Enix
6880,Square Enix
6900,IO Interactive A/S
6910,Square Enix
6920,Square Enix
6980,Square Enix
7000,Square Enix
7010,Square Enix
7020,Rebellion
7110,BioWare Corporation
7110,Electronic Arts
7200,Ubisoft
7210,Focus Home Interactive
7220,Focus Home Interactive
7260,Focus Home Interactive
7340,Big Fish Games
7510,Topware Interactive
7520,"Topware Interactive, ACE"
7530,Topware Interactive
7600,2K
7600,Feral Interactive (Mac)
7610,2K
7620,2K
7650,2K
7660,2K
7730,2K
7760,2K
7770,2K
7830,1C Entertainment
7830,1C-SoftClub
7840,1C Entertainment
7860,1C Entertainment
7940,Activision
7940,Aspyr (Mac)
8000,Square Enix
8000,Feral Interactive (Mac)
8080,Square Enix
8100,Square Enix
8140,Square Enix
8170,Square Enix
8190,Square Enix
8310,Telltale Games
8320,Telltale Games
8330,Telltale Games
8340,Telltale Games
8400,Activision
8500,CCP
8600,SimBin
8790,SimBin
8800,2K
8870,2K
8870,Aspyr (Mac)
8880,2K
8890,2K
8930,2K
8930,Aspyr (Mac)
8930,Aspyr (Linux)
8970,2K
9000,id Software
9010,Bethesda-Softworks
9030,id Software
9040,id Software
9050,id Software
9060,id Software
9160,id Software
9180,id Software
9200,Bethesda Softworks
9310,SEGA
9340,SEGA
9350,Square Enix
9420,Square Enix
9450,SEGA
9460,THQ Nordic
9480,Deep Silver
9500,Chronic Logic
9710,THQ Nordic
9760,THQ Nordic
9800,1C Entertainment
9850,THQ Nordic
9880,Perfect World Entertainment
9900,Perfect World Entertainment
9940,Krome Studios
9960,Atari
9970,Atari
9980,Retroism
10090,Activision
10100,Activision
10110,Activision
10120,Activision
10130,Activision
10140,Activision
10150,Activision
10180,Activision
10180,Aspyr (Mac)
10220,Akella
10230,Akella
10240,Akella
10250,Akella
10260,Akella
10270,Kalypso Media Digital
10460,SEGA
10500,SEGA
10500,Feral Interactive (Mac)
10500,Feral Interactive (Linux)
10680,SEGA
11020,Ubisoft
11040,Frogwares
11050,Frogwares
11130,Frogwares
11140,Frogwares
11150,Frogwares
11190,Frogwares
11200,Frozenbyte
11230,"CINEMAX, s.r.o."
11240,Meridian4
11250,Buka Entertainment
11260,Buka Entertainment
11280,Frogames
11330,Meridian4
11340,Meridian4
11360,Meridian4
11450,Codemasters
11480,1C Entertainment
11560,Codemasters
11590,Codemasters
12100,Rockstar Games
12110,Rockstar Games
12120,Rockstar Games
12130,Rockstar Games
12140,Rockstar Games
12150,Rockstar Games
12170,Rockstar Games
12180,Rockstar Games
12200,Rockstar Games
12210,Rockstar Games
12220,Rockstar Games
12310,Strategy First
12320,Strategy First
12330,Strategy First
12340,Deck13
12360,Strategy First
12390,Strategy First
12420,Strategy First
12430,Kalypso Media Digital
12440,Strategy First
12450,Strategy First
12460,Strategy First
12470,Strategy First
12480,Strategy First
12500,"D3Publisher of America, Inc."
12510,ValuSoft
12510,Retroism
12520,ValuSoft
12520,Play Hard Games
12530,ValuSoft
12530,Retroism
12540,ValuSoft
12540,Retroism
12560,ValuSoft
12560,Retroism
12590,ValuSoft
12590,Retroism
12600,ValuSoft
12600,Retroism
12640,DTP Entertainment
12670,ValuSoft
12670,Retroism
12710,Codemasters
12770,Codemasters
12790,Codemasters
12810,Codemasters
12830,Codemasters
13000,Nunchuck Games
13140,U.S. Army
13200,"Epic Games, Inc."
13210,"Epic Games, Inc."
13230,"Epic Games, Inc."
13240,"Epic Games, Inc."
13250,"Epic Games, Inc."
13500,Ubisoft
13520,Ubisoft
13530,Ubisoft
13540,Ubisoft
13560,Ubisoft
13570,Ubisoft
13580,Ubisoft
13600,Ubisoft
13620,Ubisoft
15000,Ubisoft
15080,Ubisoft
15100,Ubisoft
15120,Ubisoft
15130,Ubisoft
15160,Ubisoft
15170,Ubisoft
15190,Ubisoft
15200,Ubisoft
15210,Ubisoft
15240,Ubisoft
15270,Ubisoft
15300,Ubisoft
15320,1C Entertainment
15370,Ubisoft
15380,Ubisoft
15390,Ubisoft
15400,Oxeye Game Studio
15500,"Dejobaan Games, LLC"
15520,"Dejobaan Games, LLC"
15560,"Dejobaan Games, LLC"
15620,SEGA
15620,Feral Interactive (Mac/Linux)
15700,Oddworld Inhabitants
15710,Oddworld Inhabitants
15740,Oddworld Inhabitants
15750,Oddworld Inhabitants
15800,Slam
15900,MumboJumbo
15910,MumboJumbo
15920,MumboJumbo
15930,MumboJumbo
15960,MumboJumbo
15970,MumboJumbo
16000,MumboJumbo
16020,MumboJumbo
16030,MumboJumbo
16040,MumboJumbo
16060,MumboJumbo
16100,Last Day of Work
16110,Last Day of Work
16120,Last Day of Work
16130,Last Day of Work
16180,Last Day of Work
16200,Last Day of Work
16450,Warner Bros. Interactive Entertainment
16500,blurredVision
16600,RedLynx Ltd.
16620,Miniclip.com
16710,Missing Link Games
16720,Missing Link Games
16730,SouthPeak Games
16810,2K
16900,BlackFoot Studios
17080,Hi-Rez Studios
17100,"Tilted Mill Entertainment, Inc."
17120,"Tilted Mill Entertainment, Inc."
17140,"Tilted Mill Entertainment, Inc."
17180,"Tilted Mill Entertainment, Inc."
17300,Electronic Arts
17330,Electronic Arts
17390,Electronic Arts
17410,Electronic Arts
17430,Electronic Arts
17440,Electronic Arts
17450,Electronic Arts
17460,Electronic Arts
17470,Electronic Arts
17480,Electronic Arts
17500,Zombie Panic Team
17570,Octoshark Studios
17710,Iceberg Interactive
17740,Empires
18000,Hothead Games
18020,Hothead Games
18040,Electronic Arts
18050,Electronic Arts
18070,Hothead Games
18120,Futuremark
18300,Shorebound Studios
18400,Viva Media
18420,Viva Media
18470,Black Forest Games
18470,THQ Nordic
18480,Viva Media
18500,Hidden Path Entertainment
18600,Inventive Dingo
18700,Broken Rules
18820,Brian Cronin
19000,"Konami Digital Entertainment, Inc."
19000,Konami Digital Entertainement GmbH
19020,"Konami Digital Entertainment, Inc."
19020,Konami Digital Entertainment GmbH
19030,"Konami Digital Entertainment, Inc."
19030,Konami Digital Entertainment GmbH
19080,"Konami Digital Entertainment, Inc."
19080,Konami Digital Entertainment GmbH
19200,Meridian4
19320,Bounce Entertainment 
19500,Silver Sphere Studios
19800,Ubisoft
19830,Ubisoft
19900,Ubisoft
19980,Ubisoft
20200,Perpetual FX Creative
20510,GSC World Publishing
20530,THQ Nordic
20540,SEGA
20550,THQ Nordic
20570,SEGA
20570,Feral Interactive (Mac/Linux)
20700,Moonpod
20710,Moonpod
20820,PikPok
20900,CD PROJEKT RED
20900,1C-SoftClub
20920,CD PROJEKT RED
20920,1C-SoftClub
21000,Warner Bros. Interactive Entertainment
21010,Warner Bros. Interactive Entertainment
21030,Warner Bros. Interactive Entertainment
21090,Warner Bros. Interactive Entertainment
21100,Warner Bros. Interactive Entertainment
21130,Warner Bros. Interactive Entertainment
21300,Dark Castle Software
21400,Games Faction
21500,Candella Systems Ltd
21640,Capcom
21660,Capcom
21670,Capcom
21680,Capcom
21690,Capcom
21780,Ubisoft
21800,Ubisoft
21980,Ubisoft
22000,2D BOY 
22100,TaleWorlds Entertainment
22120,Frictional Games
22130,Paradox Interactive
22180,Frictional Games
22200,ACE Team
22230,SEGA
22300,Bethesda Softworks
22310,Bethesda Softworks
22320,Bethesda Softworks
22330,Bethesda Softworks
22350,Bethesda Softworks
22370,Bethesda Softworks
22380,Bethesda Softworks
22450,Bethesda Softworks
22500,Three Donkeys LLC
22600,Team17 Digital Ltd
22610,Team17 Digital Ltd
22650,Team17 Digital Ltd
22670,Team17 Digital Ltd
23150,Red Chain Games Ltd.
23300,Square Enix
23380,Square Enix
23400,Kalypso Media Digital
23420,Paradox Interactive
23450,Kalypso Media Digital
23460,Assemble Entertainment
23490,Kalypso Media Digital
23500,"D3Publisher of America, Inc."
23530,"D3Publisher of America, Inc."
23600,Soldak Entertainment
23700,Strategy First
24010,Dovetail Games - Trains
24200,Daybreak Game Company
24240,Daybreak Game Company
24400,Paradox Interactive
24410,Paradox Interactive
24420,"Bit Blot, LLC"
24460,Paradox Interactive
24480,Paradox Interactive
24640,N3V Games
24650,N3V Games
24670,N3V Games
24720,Electronic Arts
24740,Electronic Arts
24780,Electronic Arts
24780,Aspyr (Mac)
24790,Electronic Arts
24800,Electronic Arts
24810,Electronic Arts
24840,Electronic Arts
24870,Electronic Arts
24960,Electronic Arts
24980,Electronic Arts
25000,Wolfire Games
25010,Wolfire Games
25500,Mindstorm Studios
25600,Basilisk Games
25620,Basilisk Games
25700,Playbrains
25800,Paradox Interactive
25830,Paradox Interactive
25850,1C Entertainment
25890,Paradox Interactive
25900,1C Entertainment
25910,BattleGoat Studios
