appid,positive_ratings,negative_ratings,average_playtime,median_playtime,owners
10,124534,3339,17612,317,15000000
20,3318,633,277,62,7500000
30,3416,398,187,34,7500000
40,1273,267,258,184,7500000
50,5250,288,624,415,7500000
60,2758,684,175,10,7500000
70,27755,1100,1300,83,7500000
80,12120,1439,427,43,15000000
130,3822,420,361,205,7500000
220,67902,2419,691,402,15000000
240,76640,3497,6842,400,15000000
280,3767,1053,190,214,3500000
300,10489,1210,1356,134,7500000
320,6020,787,311,32,15000000
340,5783,1020,46,29,15000000
360,1362,473,102,81,7500000
380,7908,517,281,184,7500000
400,51801,1080,288,137,15000000
420,13902,696,354,301,7500000
440,515879,34036,8495,623,35000000
500,17951,948,897,278,7500000
550,251789,8418,1615,566,15000000
570,863507,142079,23944,801,150000000
620,138220,1891,1102,520,15000000
630,17435,941,371,83,3500000
730,2644404,402313,22494,6502,75000000
1002,40,17,0,0,35000
1200,1562,223,232,258,750000
1250,53710,2649,1328,306,3500000
1300,468,61,0,0,150000
1500,472,158,182,273,750000
1510,1602,152,65,77,750000
1520,2057,344,80,119,750000
1530,368,75,121,224,750000
1600,140,44,0,0,75000
1610,112,26,0,0,75000
1630,451,108,0,0,150000
1640,490,152,9,12,150000
1670,137,102,0,0,35000
1690,191,85,35,35,75000
1700,671,106,11,21,150000
1840,15083,1111,239,77,1500000
1900,498,238,405,414,1500000
1930,2656,1055,484,422,1500000
2100,4386,316,634,700,1500000
2200,1362,66,123,103,350000
2210,891,171,36,32,350000
2270,1773,87,69,110,350000
2280,3705,257,125,179,750000
2290,573,82,120,114,350000
2300,2517,182,90,78,750000
2310,2618,136,167,189,350000
2320,1369,107,291,349,350000
2330,65,12,32,32,350000
2340,54,33,1,1,350000
2350,108,31,0,0,350000
2360,249,26,50,50,350000
2370,57,20,0,0,150000
2390,417,29,0,0,350000
2400,4819,792,233,239,1500000
2450,662,204,193,193,150000
2500,973,248,186,258,750000
2520,52,46,0,0,75000
2590,610,523,0,0,350000
2600,6161,362,350,202,750000
2610,740,87,462,889,75000
2620,1555,117,545,849,350000
2630,2434,236,750,1041,350000
2640,490,97,0,0,350000
2710,180,33,0,0,35000
2720,31,9,0,0,35000
2780,145,77,0,0,35000
2800,212,50,732,732,350000
2810,282,113,831,1232,350000
2820,1633,272,972,1273,750000
2840,142,48,648,648,350000
2850,57,18,13,13,35000
2870,2832,4032,1744,3386,350000
2900,52,17,0,0,35000
2910,127,31,0,0,75000
2920,33,14,0,0,35000
2990,5438,343,293,351,750000
3010,139,39,939,939,35000
3020,793,198,46,60,150000
3050,71,36,0,0,35000
3130,294,69,0,0,350000
3170,482,53,1422,1429,350000
3230,30,94,0,0,35000
3260,256,172,1,1,75000
3270,429,137,270,270,350000
3330,437,37,267,267,150000
3410,71,28,0,0,35000
3480,1106,66,214,254,350000
3483,707,58,1,1,350000
3490,10,2,0,0,35000
3500,10,3,0,0,35000
3510,21,8,0,0,35000
3520,11,5,0,0,35000
3530,23,7,0,0,35000
3540,368,24,237,237,350000
3560,98,18,0,0,35000
3570,8,5,0,0,35000
3580,15,3,0,0,35000
3590,14630,454,480,374,1500000
3600,97,57,0,0,75000
3610,8,3,0,0,35000
3620,435,28,0,0,150000
3700,1181,377,262,371,750000
3710,559,79,8,8,75000
3720,1847,95,287,318,350000
3730,1434,219,20,24,350000
3800,260,71,0,0,75000
3810,369,110,111,111,75000
3820,259,103,771,771,75000
3830,8204,456,491,232,3500000
3900,1394,129,49,64,1500000
3910,2578,405,1166,13,3500000
3920,2641,193,296,436,750000
3960,39,49,0,0,35000
3980,184,65,0,0,75000
3990,121,20,0,0,1500000
4000,363721,16433,12422,1875,15000000
4100,4,5,0,0,10000
4230,119,43,0,0,350000
4290,4,2,0,0,10000
4300,43,14,78,78,35000
4420,57,36,0,0,35000
4460,77,41,0,0,35000
4470,31,17,0,0,35000
4500,11039,570,493,360,1500000
4520,106,60,124,244,150000
4530,76,38,1,1,150000
4560,4772,320,175,186,3500000
4570,3485,206,309,340,1500000
4580,2849,133,543,620,1500000
4700,10270,605,469,361,3500000
4720,1243,221,312,312,350000
4760,7806,562,897,1192,1500000
4770,331,131,33,33,750000
4780,585,30,0,0,350000
4800,259,46,0,0,75000
4850,1081,143,1134,1208,150000
4870,102,22,0,0,150000
4880,170,66,1,1,150000
4890,246,138,71,71,150000
4900,122,17,0,0,10000
4920,8372,1498,627,253,1500000
6000,6392,379,369,265,1500000
6010,597,31,419,804,150000
6020,5684,330,1254,174,1500000
6030,2020,219,127,180,1500000
6040,575,55,801,801,150000
6060,29149,2425,618,320,3500000
6080,272,38,17,17,35000
6090,115,18,100,100,35000
6120,1749,227,255,363,350000
6200,1025,164,21,21,150000
6210,91,33,0,0,35000
6220,1977,186,78,96,350000
6250,460,107,0,0,75000
6270,77,100,0,0,35000
6300,588,89,20,20,150000
6310,1152,102,14,19,350000
6370,1365,226,70,102,750000
6400,100,15,0,0,35000
6420,474,90,0,0,75000
6510,569,178,74,74,350000
6550,1462,1052,90,90,350000
6800,1561,213,63,70,750000
6810,404,71,12,14,750000
6830,1333,238,201,302,750000
6840,421,265,14,20,750000
6850,1514,260,63,58,1500000
